,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
2611,Roy Marble,Shooting Guard and Small Forward,1989,6-6,University of Iowa,"Flint, Michigan","December 13, 1966",Atlanta Hawks,23rd overall,"Beecher in Flint, Michigan"
2612,Stephon Marbury,Point Guard,1996,6-2,Georgia Institute of Technology,"Brooklyn, New York","February 20, 1977",Milwaukee Bucks,4th overall,"Abraham Lincoln in Brooklyn, New York"
2615,Jack Marin,Small Forward,1966,6-7,Duke University,"Sharon, Pennsylvania","October 12, 1944",Baltimore Bullets,5th overall,"Farrell in Farrell, Pennsylvania"
2616,Shawn Marion,Small Forward and Power Forward,1999,6-7,"University of Nevada, Las Vegas","Waukegan, Illinois","May 7, 1978",Phoenix Suns,9th overall,"Clarksville in Clarksville, Tennessee"
2618,Lauri Markkanen,Power Forward,2017,7-0,University of Arizona,"Vantaa, Finland","May 22, 1997",Minnesota Timberwolves,7th overall,"Helsinki Academy in Helsinki, Finland"
2620,Sean Marks,Power Forward and Center,1998,6-10,University of California,"Auckland, New Zealand","August 23, 1975",New York Knicks,44th overall,"Rangitoto School in Auckland, New Zealand"
2623,Ricky Marsh,Shooting Guard,1977,6-3,Manhattan College,"New York, New York","March 10, 1954",Golden State Warriors,165th overall,"Jamaica in Jamaica, New York"
2624,Donny Marshall,Small Forward,1995,6-7,University of Connecticut,"Detroit, Michigan","July 17, 1972",Cleveland Cavaliers,39th overall,"Federal Way in Federal Way, Washington"
2625,Donyell Marshall,Power Forward and Small Forward,1994,6-9,University of Connecticut,"Reading, Pennsylvania","May 18, 1973",Minnesota Timberwolves,4th overall,"Reading in Reading, Pennsylvania"
2626,Kendall Marshall,Point Guard,2012,6-4,University of North Carolina,"Dumfries, Virginia","August 19, 1991",Phoenix Suns,13th overall,"Bishop O'Connell in Arlington, Virginia"
2630,Bill Martin,Small Forward,1985,6-7,Georgetown University,"Washington, District of Columbia","August 16, 1962",Indiana Pacers,26th overall,"McKinley in Washington, District of Columbia"
2632,Brian Martin,Small Forward and Power Forward,1984,6-9,University of Kansas,"Fort Smith, Arkansas","August 18, 1962",Indiana Pacers,185th overall,"Northwest in Wichita, Kansas"
2634,Cuonzo Martin,Shooting Guard,1995,6-5,Purdue University,"St. Louis, Missouri","September 23, 1971",Atlanta Hawks,57th overall,"Lincoln in East St. Louis, Illinois"
2639,Jarell Martin,Power Forward,2015,6-10,Louisiana State University,"Baton Rouge, Louisiana","May 24, 1994",Memphis Grizzlies,25th overall,"Madison Prep in Baton Rouge, Louisiana"
2640,Jeff Martin,Point Guard and Shooting Guard,1989,6-5,Murray State University,"Cherry Valley, Arkansas","January 14, 1967",Los Angeles Clippers,31st overall,"Cross Country in Cherry Valley, Arkansas"
2641,Kenyon Martin,Power Forward and Center,2000,6-9,University of Cincinnati,"Saginaw, Michigan","December 30, 1977",New Jersey Nets,1st overall,"Bryan Adams in Dallas, Texas"
2642,Kevin Martin,Point Guard and Shooting Guard,2004,6-7,Western Carolina University,"Zanesville, Ohio","February 1, 1983",Sacramento Kings,26th overall,"Zanesville in Zanesville, Ohio"
2643,LaRue Martin,Center,1972,6-11,Loyola University of Chicago,"Chicago, Illinois","March 30, 1950",Portland Trail Blazers,1st overall,"De La Salle Institute in Chicago, Illinois"
2644,Maurice Martin,Small Forward,1986,6-6,Saint Joseph's University,"Liberty, New York","July 2, 1964",Denver Nuggets,16th overall,"Central in Liberty, New York"
2648,Jamal Mashburn,Small Forward,1993,6-8,University of Kentucky,"New York, New York","November 29, 1972",Dallas Mavericks,4th overall,"Cardinal Hayes in Bronx, New York"
2650,Anthony Mason,Center and Small Forward and Power Forward,1988,6-7,Tennessee State University,"Miami, Florida","December 14, 1966",Portland Trail Blazers,53rd overall,"Springfield Gardens in Springfield Gardens, New York"
2651,Desmond Mason,Small Forward and Shooting Guard,2000,6-7,Oklahoma State University,"Waxahachie, Texas","October 11, 1977",Seattle SuperSonics,17th overall,"Waxahachie in Waxahachie, Texas"
2652,Frank Mason III,Point Guard,2017,5-11,University of Kansas,"Petersburg, Virginia","April 3, 1994",Sacramento Kings,34th overall,"Petersburg in Petersburg, Virginia"
2653,Roger Mason,Small Forward and Point Guard and Shooting Guard,2002,6-5,University of Virginia,"Washington, District of Columbia","September 10, 1980",Chicago Bulls,31st overall,"Good Counsel in Wheaton, Maryland"
2654,Tony Massenburg,Center and Power Forward,1990,6-9,University of Maryland,"Sussex, Virginia","July 31, 1967",San Antonio Spurs,43rd overall,"Sussex Central in Sussex, Virginia"
2655,Eddie Mast,Power Forward,1969,6-9,Temple University,"Philadelphia, Pennsylvania","October 3, 1948",New York Knicks,40th overall,"Darby-Colwyn in Darby, Pennsylvania"
2659,Wes Matthews,Point Guard,1980,6-1,University of Wisconsin,"Sarasota, Florida","August 24, 1959",Washington Bullets,14th overall,"Harding in Bridgeport, Connecticut"
2662,Marlon Maxey,Power Forward,1992,6-8,"University of Minnesota, University of Texas at El Paso","Chicago, Illinois","February 19, 1969",Minnesota Timberwolves,28th overall,"Percy L. Julian in Chicago, Illinois"
2663,Jason Maxiell,Center and Power Forward,2005,6-7,University of Cincinnati,"Chicago, Illinois","February 18, 1983",Detroit Pistons,26th overall,"Newman Smith in Carrollton, Texas"
2664,Cedric Maxwell,Small Forward,1977,6-8,University of North Carolina at Charlotte,"Kinston, North Carolina","November 21, 1955",Boston Celtics,12th overall,"Kinston in Kinston, North Carolina"
2665,Vernon Maxwell,Point Guard and Shooting Guard,1988,6-4,University of Florida,"Gainesville, Florida","September 12, 1965",Denver Nuggets,47th overall,"Buchholz in Gainesville, Florida"
2666,Don May,Small Forward,1968,6-4,University of Dayton,"Dayton, Ohio","January 3, 1946",New York Knicks,30th overall,"Belmont in Dayton, Ohio"
2667,Scott May,Small Forward,1976,6-7,Indiana University,"Sandusky, Ohio","March 19, 1954",Chicago Bulls,2nd overall,"Sandusky in Sandusky, Ohio"
2668,Sean May,Power Forward and Center,2005,6-9,University of North Carolina,"Chicago, Illinois","April 4, 1984",Charlotte Bobcats,13th overall,"Bloomington North in Bloomington, Indiana"
2669,Lee Mayberry,Point Guard,1992,6-1,University of Arkansas,"Tulsa, Oklahoma","June 12, 1970",Milwaukee Bucks,23rd overall,"Will Rogers in Tulsa, Oklahoma"
2670,Clyde Mayes,Power Forward,1975,6-8,Furman University,"Greenville, South Carolina","March 17, 1953",Milwaukee Bucks,22nd overall,"Wade Hampton in Greenville, South Carolina"
2674,Eric Maynor,Shooting Guard and Point Guard,2009,6-3,Virginia Commonwealth University,"Raeford, North Carolina","June 11, 1987",Utah Jazz,20th overall,"Westover in Fayetteville, North Carolina"
2675,O.J. Mayo,Shooting Guard,2008,6-5,University of Southern California,"Huntington, West Virginia","November 5, 1987",Minnesota Timberwolves,3rd overall,"Huntington in Huntington, West Virginia"
2676,Travis Mays,Point Guard,1990,6-2,University of Texas at Austin,"Ocala, Florida","June 19, 1968",Sacramento Kings,14th overall,"Vanguard in Ocala, Florida"
2678,Luc Mbah a Moute,Small Forward and Power Forward,2008,6-8,"University of California, Los Angeles","Yaounde, Cameroon","September 9, 1986",Milwaukee Bucks,37th overall,"Monteverde Academy in St. Monteverde, Florida"
2679,Bob McAdoo,Center and Power Forward,1972,6-9,University of North Carolina,"Greensboro, North Carolina","September 25, 1951",Buffalo Braves,2nd overall,"Ben Smith in Greensboro, North Carolina"
2683,Ray McCallum,Point Guard,2013,6-3,University of Detroit Mercy,"Madison, Wisconsin","June 12, 1991",Sacramento Kings,36th overall,"Detroit County Day School in , Michigan"
2684,Bob McCann,Power Forward and Small Forward,1987,6-6,"Upsala College, Morehead State University","Morristown, New Jersey","April 22, 1964",Milwaukee Bucks,32nd overall,"Morristown in Morristown, New Jersey"
2685,Brendan McCann,Point Guard,1957,6-2,St. Bonaventure University,"Brooklyn, New York","July 5, 1935",New York Knicks,5th overall,"Manual Training in Brooklyn, New York"
2687,Rashad McCants,Shooting Guard,2005,6-4,University of North Carolina,"Asheville, North Carolina","September 25, 1984",Minnesota Timberwolves,14th overall,"New Hampton School in New Hampton, New Hampshire"
2689,Andre McCarter,Point Guard,1975,6-3,"University of California, Los Angeles","Philadelphia, Pennsylvania","August 25, 1953",Cleveland Cavaliers,136th overall,"Overbrook in Philadelphia, Pennsylvania"
2690,Willie McCarter,Shooting Guard,1969,6-3,Drake University,"Gary, Indiana","July 26, 1946",Los Angeles Lakers,12th overall,"Roosevelt in Gary, Indiana"
2694,Walter McCarty,Small Forward and Power Forward,1996,6-10,University of Kentucky,"Evansville, Indiana","February 1, 1974",New York Knicks,19th overall,"Harrison in Evansville, Indiana"
2695,Amal McCaskill,Center,1996,6-11,Marquette University,"Maywood, Illinois","October 28, 1973",Orlando Magic,49th overall,"St. Joseph in Westchester, Illinois"
2696,Patrick McCaw,Shooting Guard,2016,6-7,"University of Nevada, Las Vegas","St. Louis, Missouri","October 25, 1995",Milwaukee Bucks,38th overall,"Montrose Christian in Rockville, Maryland"
2697,Dwayne McClain,Small Forward,1985,6-6,Villanova University,"Worcester, Massachusetts","February 7, 1963",Indiana Pacers,27th overall,"Holy Name in Worcester, Massachusetts"
2699,Dan McClintock,Center,2000,7-0,Northern Arizona University,"FountaValley, California","April 19, 1977",Denver Nuggets,53rd overall,"Visalia in Visalia, California"
2701,George McCloud,Small Forward,1989,6-6,Florida State University,"Daytona Beach, Florida","May 27, 1967",Indiana Pacers,7th overall,"Mainland in Daytona Beach, Florida"
2702,CJ McCollum,Shooting Guard,2013,6-3,Lehigh University,"Canton, Ohio","September 19, 1991",Portland Trail Blazers,10th overall,"Glen Oak in Canton, Ohio"
2706,Keith McCord,Shooting Guard,1979,6-7,"University of Alabama, University of Alabama at Birmingham","Birmingham, Alabama","June 22, 1957",Philadelphia 76ers,198th overall,"West End in Birmingham, Alabama"
2707,Tim McCormick,Center,1984,6-11,University of Michigan,"Detroit, Michigan","March 10, 1962",Cleveland Cavaliers,12th overall,"Clarkston in Clarkston, Michigan"
2708,Jelani McCoy,Center,1998,6-10,"University of California, Los Angeles","Oakland, California","December 6, 1977",Seattle SuperSonics,33rd overall,"Saint Augustine in San Diego, California"
2711,Rodney McCray,Power Forward and Small Forward,1983,6-7,University of Louisville,"Mount Vernon, New York","August 29, 1961",Houston Rockets,3rd overall,"Mount Vernon in Mount Vernon, New York"
2712,Scooter McCray,Power Forward,1983,6-9,University of Louisville,"Mount Vernon, New York","February 8, 1960",Seattle SuperSonics,36th overall,"Mount Vernon in Mount Vernon, New York"
2714,Chris McCullough,Power Forward,2015,6-11,Syracuse University,"Bronx, New York","February 5, 1995",Brooklyn Nets,29th overall,"IMG Academy in Bradenton, Florida"
2715,John McCullough,Shooting Guard,1979,6-4,University of Oklahoma,"Lima, Ohio","October 5, 1956",Kansas City Kings,85th overall,"Lima in Lima, Ohio"
2717,Xavier McDaniel,Small Forward and Power Forward,1985,6-7,Wichita State University,"Columbia, South Carolina","June 4, 1963",Seattle SuperSonics,4th overall,"A.C. Flora in Columbia, South Carolina"
2718,Jim McDaniels,Center,1971,6-11,Western Kentucky University,"Scottsville, Kentucky","April 2, 1948",Seattle SuperSonics,23rd overall,"Allen County in Scottsville, Kentucky"
2719,K.J. McDaniels,Small Forward and Shooting Guard,2014,6-6,Clemson University,"Mobile, Alabama","February 9, 1993",Philadelphia 76ers,32nd overall,"Central Park Christian School in Birmingham, Alabama"
2720,Doug McDermott,Small Forward,2014,6-8,Creighton University,"Grand Forks, North Dakota","January 3, 1992",Denver Nuggets,11th overall,"Ames in Ames, Iowa"
2721,Ben McDonald,Power Forward and Small Forward,1984,6-8,"University of California, Irvine","Torrance, California","July 20, 1962",Cleveland Cavaliers,50th overall,"Long Beach Polytechnic in Long Beach, California"
2722,Glenn McDonald,Small Forward,1974,6-6,"California State University, Long Beach","Kewanee, Illinois","March 18, 1952",Boston Celtics,17th overall,"Jefferson in Los Angeles, California"
2723,Michael McDonald,Center,1995,6-10,"Utah Valley State College, University of New Orleans","Longview, Texas","February 13, 1969",Golden State Warriors,55th overall,"Longview in Longview, Texas"
2725,Hank McDowell,Power Forward,1981,6-9,University of Memphis,"Memphis, Tennessee","November 13, 1959",Golden State Warriors,102nd overall,"Treadwell in Memphis, Tennessee"
2726,Antonio McDyess,Center and Power Forward,1995,6-9,University of Alabama,"Quitman, Mississippi","September 7, 1974",Los Angeles Clippers,2nd overall,"Quitman in Quitman, Mississippi"
2727,Jim McElroy,Point Guard,1975,6-3,Central Michigan University,"Cotton Plant, Arkansas","October 4, 1953",New Orleans Jazz,38th overall,"Murray-Wright in Detroit, Michigan"
2728,Patrick McFarland,Shooting Guard,1973,6-5,Saint Joseph's University,"Philadelphia, Pennsylvania","December 7, 1951",New York Knicks,28th overall,"John F. Kennedy in Willingboro, New Jersey"
2731,Mitch McGary,Power Forward,2014,6-10,University of Michigan,"Chesterton, Indiana","June 6, 1992",Oklahoma City Thunder,21st overall,"Brewster Academy in Wolfeboro, New Hampshire"
2732,JaVale McGee,Center,2008,7-0,"University of Nevada, Reno","Flint, Michigan","January 19, 1988",Washington Wizards,18th overall,"Hales Franciscan in Chicago, Illinois"
2733,Mike McGee,Small Forward and Shooting Guard,1981,6-5,University of Michigan,"Tyler, Texas","July 29, 1959",Los Angeles Lakers,19th overall,"North in Omaha, Nebraska"
2734,Bill McGill,Center,1962,6-9,University of Utah,"San Angelo, Texas","September 16, 1939",Chicago Zephyrs,1st overall,"Jefferson in Los Angeles, California"
2735,George McGinnis,Power Forward and Small Forward,1973,6-8,Indiana University,"Harpersville, Alabama","August 12, 1950",Philadelphia 76ers,22nd overall,"George Washington in Indianapolis, Indiana"
2736,Jon McGlocklin,Shooting Guard and Small Forward,1965,6-5,Indiana University,"Franklin, Indiana","June 10, 1943",Cincinnati Royals,24th overall,"Franklin in Franklin, Indiana"
2741,Alfred McGuire,Point Guard,1951,6-2,St. John's University,"New York, New York","September 7, 1928",New York Knicks,55th overall,"St. John's Preparatory School in Brooklyn, New York"
2743,Dick McGuire,Point Guard,1949,6-0,St. John's University,"Huntington, New York","January 25, 1926",New York Knicks,7th overall,"La Salle Academy in New York, New York"
2744,Dominic McGuire,Shooting Guard and Power Forward and Small Forward,2007,6-9,"University of California, California State University, Fresno","San Diego, California","October 20, 1985",Washington Wizards,47th overall,"Lincoln in San Diego, California"
2745,Kevin McHale,Power Forward,1980,6-10,University of Minnesota,"Hibbing, Minnesota","December 19, 1957",Boston Celtics,3rd overall,"Hibbing in Hibbing, Minnesota"
2747,Jim McIlvaine,Center,1994,7-1,Marquette University,"Racine, Wisconsin","July 30, 1972",Washington Bullets,32nd overall,"St. Catherine in Racine, Wisconsin"
2748,Jeff McInnis,Point Guard and Shooting Guard,1996,6-4,University of North Carolina,"Charlotte, North Carolina","October 22, 1974",Denver Nuggets,37th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
2749,Kenny McIntosh,Small Forward,1971,6-7,Eastern Michigan University,"Detroit, Michigan","January 21, 1949",Chicago Bulls,15th overall,"South Haven in South Haven, Michigan"
2752,Kevin McKenna,Shooting Guard,1981,6-5,Creighton University,"St. Paul, Minnesota","January 8, 1959",Los Angeles Lakers,88th overall,"Palatine Township in Palatine, Illinois"
2753,Forrest McKenzie,Small Forward,1986,6-7,Loyola Marymount University,"Camden, New Jersey","February 16, 1963",San Antonio Spurs,48th overall,"Pasadena in Pasadena, California"
2754,Stan McKenzie,Small Forward and Shooting Guard,1966,6-5,New York University,"Miami, Florida","October 6, 1944",Baltimore Bullets,94th overall,"Miami Northwestern in Miami, Florida"
2755,Derrick McKey,Small Forward,1987,6-9,University of Alabama,"Meridian, Mississippi","October 10, 1966",Seattle SuperSonics,9th overall,"Meridian in Meridian, Mississippi"
2756,Aaron McKie,Point Guard and Shooting Guard and Small Forward,1994,6-5,Temple University,"Philadelphia, Pennsylvania","October 2, 1972",Portland Trail Blazers,17th overall,"Simon Gratz in Philadelphia, Pennsylvania"
2757,Billy McKinney,Point Guard,1977,6-0,Northwestern University,"Waukegan, Illinois","June 5, 1955",Phoenix Suns,115th overall,"Zion-Benton in Zion, Illinois"
